title,company,location,link
[전액국비지원] 블록체인 전문가 양성 교육생,한국블록체인연구교육원,서울 서초구,https://kr.indeed.com/viewjob?jk=9e5cacf8acbe2798
파이썬 신입 개발자 (정규직),쇼엠,인천 연수구,https://kr.indeed.com/viewjob?jk=144c42a3c09caa9b
2021년 혁신성장 청년인재 집중양성사업 교육생 (빅데이터/인공지능),한국생산성본부,서울 중구,https://kr.indeed.com/viewjob?jk=96f919d43a5c77b6
2021년 광학솔루션사업부 수시 Inno-STEP(연계형 인턴십),LG이노텍,경기도 안산,https://kr.indeed.com/viewjob?jk=1a78e2314b6c0ad4
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,네이버,서울,https://kr.indeed.com/viewjob?jk=5d586ea25719e960
"교육운영, 교육기획 신입 인턴",매직에코,서울 성동구,https://kr.indeed.com/viewjob?jk=8eb22469c56dd7d9
(주)엘솔루 R&D본부 ASR팀 개발직,㈜엘솔루,서울,https://kr.indeed.com/viewjob?jk=54178f9784d7126f
국내카드사 DW 개발/운영,제이엔커리어,서울 서초구,https://kr.indeed.com/viewjob?jk=5ba9459c73dec978
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/viewjob?jk=84fd9f9deb6105b0
[시스템팀] 시스템 엔지니어,심플렉스,고양 일산동구,https://kr.indeed.com/viewjob?jk=cab21e996b418910
[AI기반 IT벤처기업] AI 엔지니어 (신입/경력),TrueHR,서울 금천구,https://kr.indeed.com/viewjob?jk=d4230d16145e64fa
[PUBG Studio Analytics] Data Analyst,PUBG,서울,https://kr.indeed.com/viewjob?jk=b647e33d03c852bb
전장 개발 엔지니어,가오콘,서울 강서구,https://kr.indeed.com/viewjob?jk=ee6d176505ffa343
"Application Engineer South Korea (Physics, EE)",Zurich Instruments,대한민국,https://kr.indeed.com/viewjob?jk=444320d2e49672dc
국내카드사 DW 개발/운영,제이엔커리어,서울 서초구,https://kr.indeed.com/viewjob?jk=5ba9459c73dec978
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,네이버,서울,https://kr.indeed.com/viewjob?jk=5d586ea25719e960
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d
DevOps Developer,IBM,서울,https://kr.indeed.com/viewjob?jk=475098f717bcdeb6
[PUBG Studio Analytics] Data Analyst,PUBG,서울,https://kr.indeed.com/viewjob?jk=b647e33d03c852bb
데이터 마케팅 경력사원,LG전자,서울 영등포구,https://kr.indeed.com/viewjob?jk=d69b5a1e60c65ce6
2021년 3월 롯데정보통신 Software / Infra / BI 신입사원,롯데정보통신,서울,https://kr.indeed.com/viewjob?jk=3d871379b84dd1b2
2021년 (신입) 전문연구요원 모집,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=9acc17c535b42959
Data Scientist,Motion2AI,서울,https://kr.indeed.com/viewjob?jk=2d3b7de44ce0cbeb
Software Engineer (Embedded),BOEING,서울,https://kr.indeed.com/viewjob?jk=4052033bd59b7723
Data Analytics 컨설턴트 - 글로벌 컨설팅Firm,에스에프인촌,서울,https://kr.indeed.com/viewjob?jk=36c4f3f29ded4d7f
2021년 상반기 R&D 개발자 (병역특례 가능/경력 무관),네오스텍,인천 연수구,https://kr.indeed.com/viewjob?jk=754be9e3d78fa802
"Customer Engineer, Machine Learning, Google Cloud Customers",Google,서울,https://kr.indeed.com/viewjob?jk=add880a19f345249
(전원인턴연계/전액무료) 정보보호산업 맞춤형 인재 양성과정 교육생,한국정보보호산업협회,서울,https://kr.indeed.com/viewjob?jk=beb32c9ff3afbadf
Data Scientist 모집,한독약품,서울,https://kr.indeed.com/viewjob?jk=790d6275c9dd7be8
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/viewjob?jk=e8a4630bec0783e8
[시스템팀] 시스템 엔지니어,심플렉스,고양 일산동구,https://kr.indeed.com/viewjob?jk=cab21e996b418910
"웹개발, JSP 외 신입/경력 정규직",소명소프트,서울 송파구,https://kr.indeed.com/viewjob?jk=21d0361b8cb5fc07
Data Scientist,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=f5f5f902d240ac96
솔루션 엔지니어 (Network Infra),글로벌 네트워크 회사,서울 강남구,https://kr.indeed.com/viewjob?jk=c52b13ca64b943c1
2021년 한화시스템 방산부문 프로젝트/기간제 엔지니어 채용(상시),한화그룹,서울,https://kr.indeed.com/viewjob?jk=2b09f13b5790dd69
Security Engineer (취약점 분석),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=96688eea9c1a9e28
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=2b2dcd3ffe3d53df
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
